Frequenza,Territorio,Indicatore,Rito di esaurimento,Periodo tra la separazione e l'iscrizione a ruolo del procedimento,Modalità di esaurimento,Con figli affidati,Durata del matrimonio,Anno di matrimonio,Numero di figli,Coniuge che ha presentato la domanda di divorzio con rito giudiziale,Tipo di affidamento,Numero di figli affidati,Età dei figli affidati,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2008,54351,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2009,54456,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2010,54160,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2011,53806,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2012,51319,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2013,52943,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2014,52355,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2008,587,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2009,522,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2010,449,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2011,480,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2012,488,,27_814_DF_DCIS_DIVFIG_10
annuale,Italia,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2013,411,,27_814_DF_DCIS_DIVFIG_10
