Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,54351,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,54456,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,54160,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,53806,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,51319,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,52943,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,52355,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,5202,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,5763,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,6207,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,6233,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,7049,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,6863,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,6999,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,8,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,23,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,9,,27_385_DF_DCIS_DIVORDEMCONG_5
