Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,54351,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,54456,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,54160,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,53806,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,51319,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,52943,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,52355,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,3212,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,3514,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,3810,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,3789,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,4379,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,4213,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,60 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,4231,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2008,93,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2009,90,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2010,71,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2011,60,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2012,46,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2013,48,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,15-24 anni,15 anni e più,15 anni e più,tutte le voci,2014,46,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2008,1725,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2009,1572,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2010,1545,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2011,1297,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2012,1047,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2013,1064,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,25-29 anni,15 anni e più,15 anni e più,tutte le voci,2014,997,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2008,7512,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2009,7021,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2010,6239,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2011,5780,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2012,4320,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2013,4648,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2014,4222,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2008,12352,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2009,11825,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2010,11314,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2011,10674,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2012,8960,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2013,9459,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2014,8938,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2008,12492,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2009,12468,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2010,12098,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2011,12006,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2012,10737,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2013,11414,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2014,11258,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2008,8668,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2009,9261,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2010,9686,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2011,10329,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2012,10640,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2013,10822,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2014,10722,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2008,5310,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2009,5467,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2010,5968,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2011,6376,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2012,7043,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2013,7275,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2014,7805,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2008,2987,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2009,3238,,27_385_DF_DCIS_DIVORDEMCONG_6
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2010,3429,,27_385_DF_DCIS_DIVORDEMCONG_6
