Frequenza,Territorio,Indicatore,Rito di celebrazione del matrimonio,Anno di nascita,Età al matrimonio,Stato civile,Anno di cessazione precedente matrimonio,Durata vedovanza/divorzio,Titolo di studio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1996,18 anni,totale,2015,69,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1996 e precedenti,19 anni e più,totale,2015,706,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1997,17 anni,totale,2015,126,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1997,18 anni,totale,2015,139,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1997,18 anni,totale,2016,83,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1997 e precedenti,19 anni e più,totale,2016,766,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1998,16 anni,totale,2015,123,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1998,17 anni,totale,2015,156,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1998,17 anni,totale,2016,134,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1998,18 anni,totale,2016,140,,24_447_DF_DCIS_SPOSI_3
annuale,Italia,spose,tutte le voci,tutte le voci,16 anni e più,divorziata/o,1998,18 anni,totale,2017,83,,24_447_DF_DCIS_SPOSI_3
