Frequenza,Territorio,Indicatore,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,durata media del procedimento di separazione giudiziale (in giorni),2007,954,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione giudiziale (in giorni),2008,937,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione giudiziale (in giorni),2009,909,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione giudiziale (in giorni),2010,891,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione giudiziale (in giorni),2011,873,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione giudiziale (in giorni),2012,890,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione giudiziale (in giorni),2013,666,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione giudiziale (in giorni),2014,747,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione consensuale (in giorni),2007,153,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione consensuale (in giorni),2008,163,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione consensuale (in giorni),2009,154,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione consensuale (in giorni),2010,150,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione consensuale (in giorni),2011,156,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione consensuale (in giorni),2012,156,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione consensuale (in giorni),2013,145,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,durata media del procedimento di separazione consensuale (in giorni),2014,152,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni esaurite con rito consensuale (valori percentuali),2007,86.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni esaurite con rito consensuale (valori percentuali),2008,86.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni esaurite con rito consensuale (valori percentuali),2009,85.6,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni esaurite con rito consensuale (valori percentuali),2010,85.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni esaurite con rito consensuale (valori percentuali),2011,84.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni esaurite con rito consensuale (valori percentuali),2012,85.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni esaurite con rito consensuale (valori percentuali),2013,84,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni esaurite con rito consensuale (valori percentuali),2014,84.2,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse,2007,81359,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse,2008,84165,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse,2009,85945,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse,2010,88191,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse,2011,88797,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse,2012,88288,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse,2013,88886,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse,2014,89303,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse rispetto ai coniugati (valori per centomila),2007,273.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse rispetto ai coniugati (valori per centomila),2008,281.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse rispetto ai coniugati (valori per centomila),2009,287.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse rispetto ai coniugati (valori per centomila),2010,295,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse rispetto ai coniugati (valori per centomila),2011,301,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,separazioni concesse rispetto ai coniugati (valori per centomila),2012,303.4,,27_349_DF_DCIS_SEPARAZIND_1
